"di_id","year","value_1","value","value_3"
"CF",1996,77.74,77.74,77.74
"CG",1996,52.69,52.69,52.69
"CI",1996,20.5,20.5,20.5
"CL",1996,3.35,3.35,3.35
"CM",1996,48.08,48.08,48.08
"CN",1996,42.05,42.05,42.05
"CO",1996,15.62,15.62,15.62
"CR",1996,7.96,7.96,7.96
"CV",1996,31.77,31.77,31.77
"CZ",1996,0.15,0.15,0.15
"DJ",1996,19.06,19.06,19.06
"DO",1996,4.93,4.93,4.93
"EC",1996,17.61,17.61,17.61
"EE",1996,0.37,0.37,0.37
"ET",1996,61.17,61.17,61.17
"FJ",1996,7.43,7.43,7.43
"FM",1996,13.52,13.52,13.52
"GA",1996,5,5,5
"GE",1996,6.04,6.04,6.04
"GH",1996,38.4,38.4,38.4
"GM",1996,71.73,71.73,71.73
"GN",1996,52.99,52.99,52.99
"GT",1996,18.1,18.1,18.1
"GW",1996,49.03,49.03,49.03
"GY",1996,15.5,15.5,15.5
"HN",1996,30.35,30.35,30.35
"HR",1996,0.47,0.47,0.47
"HT",1996,55.21,55.21,55.21
"HU",1996,0.24,0.24,0.24
"ID",1996,45.89,45.89,45.89
"IN",1996,38.82,38.82,38.82
"IR",1996,3.36,3.36,3.36
"JM",1996,3.43,3.43,3.43
"KE",1996,19.61,19.61,19.61
"KG",1996,42.67,42.67,42.67
"KH",1996,27.06,27.06,27.06
"KI",1996,17.39,17.39,17.39
"KM",1996,14.63,14.63,14.63
"KZ",1996,6.33,6.33,6.33
"LA",1996,29.16,29.16,29.16
"LC",1996,33.95,33.95,33.95
"LK",1996,8.87,8.87,8.87
"LR",1996,96.42,96.42,96.42
"LS",1996,68.06,68.06,68.06
"LT",1996,0,0,0
"LV",1996,1.57,1.57,1.57
"MA",1996,5.38,5.38,5.38
"MD",1996,27.55,27.55,27.55
"ME",1996,0.39,0.39,0.39
"MG",1996,67.74,67.74,67.74
"MK",1996,1.26,1.26,1.26
"ML",1996,80.78,80.78,80.78
"MN",1996,18.86,18.86,18.86
"MR",1996,19.76,19.76,19.76
"MU",1996,1.93,1.93,1.93
"MV",1996,21.64,21.64,21.64
"MW",1996,64.76,64.76,64.76
"MX",1996,14.09,14.09,14.09
"MY",1996,0.64,0.64,0.64
"MZ",1996,85.72,85.72,85.72
"NA",1996,52.67,52.67,52.67
"NE",1996,80.42,80.42,80.42
"NG",1996,63.5,63.5,63.5
"NI",1996,19.09,19.09,19.09
"NP",1996,60.16,60.16,60.16
"PA",1996,15.88,15.88,15.88
"PE",1996,18.35,18.35,18.35
"PG",1996,53.23,53.23,53.23
"PH",1996,20.75,20.75,20.75
"PK",1996,18.23,18.23,18.23
"PL",1996,2.57,2.57,2.57
"PS",1996,1.78,1.78,1.78
"PY",1996,11.75,11.75,11.75
"RO",1996,8.36,8.36,8.36
"RS",1996,0.52,0.52,0.52
"RU",1996,3.6,3.6,3.6
"RW",1996,80.41,80.41,80.41
"SB",1996,27.85,27.85,27.85
"SC",1996,1.36,1.36,1.36
"SD",1996,38.75,38.75,38.75
"SI",1996,0.07,0.07,0.07
"SK",1996,0.52,0.52,0.52
"SL",1996,66.82,66.82,66.82
"SN",1996,56.74,56.74,56.74
"SR",1996,23.38,23.38,23.38
"SS",1996,46.71,46.71,46.71
"ST",1996,32.83,32.83,32.83
"SV",1996,21.97,21.97,21.97
"SZ",1996,66.69,66.69,66.69
"TD",1996,72.02,72.02,72.02
"TG",1996,53.03,53.03,53.03
"TH",1996,2.25,2.25,2.25
"TJ",1996,59.52,59.52,59.52
"TL",1996,80.82,80.82,80.82
"TM",1996,37.77,37.77,37.77
"TN",1996,9.79,9.79,9.79
"TO",1996,3.41,3.41,3.41
"TR",1996,2.01,2.01,2.01
"TT",1996,4.11,4.11,4.11
"TV",1996,7.11,7.11,7.11
"TZ",1996,78.92,78.92,78.92
"UA",1996,5.37,5.37,5.37
"UG",1996,59.81,59.81,59.81
"UY",1996,0.62,0.62,0.62
"UZ",1996,48.63,48.63,48.63
"VE",1996,10.27,10.27,10.27
"VN",1996,39.42,39.42,39.42
"VU",1996,14.62,14.62,14.62
"WS",1996,5.89,5.89,5.89
"XK",1996,2.99,2.99,2.99
"ZA",1996,33.81,33.81,33.81
"ZM",1996,41.73,41.73,41.73
"ZW",1996,3.56,3.56,3.56
"AL",1997,1.79,1.79,
"AM",1997,17.56,17.56,
"AO",1997,44.73,44.73,
"AZ",1997,5.88,5.88,
"BA",1997,0.77,0.77,
"BD",1997,36.03,36.03,
"BF",1997,80.1,80.1,
"BG",1997,1.28,1.28,
"BI",1997,84.08,84.08,
"BJ",1997,55.66,55.66,
"BO",1997,20.63,20.63,
"BR",1997,13.9,13.9,
"BT",1997,64.76,64.76,
"BW",1997,31.58,31.58,
"BY",1997,3.84,3.84,
"BZ",1997,13.09,13.09,
"CD",1997,90.78,90.78,
"CF",1997,75.09,75.09,
"CG",1997,54.05,54.05,
"CI",1997,21.77,21.77,
"CL",1997,3.49,3.49,
"CM",1997,42.3,42.3,
"CN",1997,41.55,41.55,
"CO",1997,16.85,16.85,
"CR",1997,7.43,7.43,
"CV",1997,28.2,28.2,
"CZ",1997,0.13,0.13,
"DJ",1997,19.62,19.62,
"DO",1997,5.05,5.05,
"EC",1997,19.01,19.01,
"EE",1997,0.54,0.54,
"ET",1997,59.97,59.97,
"FJ",1997,7.05,7.05,
"FM",1997,13.73,13.73,
"GA",1997,5.55,5.55,
"GE",1997,10.66,10.66,
"GH",1997,36.54,36.54,
"GM",1997,66.84,66.84,
"GN",1997,54.3,54.3,
"GT",1997,15.91,15.91,
"GW",1997,52.91,52.91,
"GY",1997,14.82,14.82,
"HN",1997,29.05,29.05,
"HR",1997,0.39,0.39,
"HT",1997,54.9,54.9,
"HU",1997,0.17,0.17,
"ID",1997,43.92,43.92,
"IN",1997,38.35,38.35,
"IR",1997,3.27,3.27,
"JM",1997,3.16,3.16,
"KE",1997,21.31,21.31,
"KG",1997,36.12,36.12,
"KH",1997,26.32,26.32,
"KI",1997,16.29,16.29,
"KM",1997,14.75,14.75,
"KZ",1997,7.6,7.6,
"LA",1997,28.27,28.27,
"LC",1997,33.21,33.21,
"LK",1997,8.73,8.73,
"LR",1997,86.39,86.39,
"LS",1997,67.18,67.18,
"LT",1997,0.12,0.12,
"LV",1997,1.5,1.5,
"MA",1997,6.08,6.08,
"MD",1997,31.4,31.4,
"ME",1997,0.39,0.39,
"MG",1997,66.54,66.54,
"MK",1997,2.21,2.21,
"ML",1997,75.06,75.06,
"MN",1997,19.6,19.6,
"MR",1997,19.42,19.42,
"MU",1997,1.72,1.72,
"MV",1997,19.95,19.95,
"MW",1997,64.83,64.83,
"MX",1997,13.69,13.69,
"MY",1997,0.83,0.83,
"MZ",1997,84.73,84.73,
"NA",1997,47.94,47.94,
"NE",1997,79.56,79.56,
"NG",1997,64.48,64.48,
"NI",1997,18.35,18.35,
"NP",1997,57.37,57.37,
"PA",1997,15.05,15.05,
"PE",1997,18.11,18.11,
"PG",1997,53.96,53.96,
"PH",1997,20.06,20.06,
"PK",1997,19.58,19.58,
"PL",1997,1.73,1.73,
"PS",1997,1.28,1.28,
"PY",1997,11.24,11.24,
"RO",1997,7.73,7.73,
"RS",1997,0.51,0.51,
"RU",1997,3.53,3.53,
"RW",1997,79.73,79.73,
"SB",1997,29.23,29.23,
"SC",1997,1.1,1.1,
"SD",1997,36.98,36.98,
"SI",1997,0.05,0.05,
"SK",1997,0.48,0.48,
"SL",1997,67.57,67.57,
"SN",1997,54.84,54.84,
"SR",1997,23.38,23.38,
"SS",1997,46.36,46.36,
"ST",1997,32.13,32.13,
"SV",1997,20.07,20.07,
"SZ",1997,61.6,61.6,
"TD",1997,71.87,71.87,
"TG",1997,51.9,51.9,
"TH",1997,2.35,2.35,
"TJ",1997,57.8,57.8,
"TL",1997,73.74,73.74,
"TM",1997,36.74,36.74,
"TN",1997,8.61,8.61,
"TO",1997,3.25,3.25,
"TR",1997,1.86,1.86,
"TT",1997,3.36,3.36,
"TV",1997,5.84,5.84,
"TZ",1997,80.35,80.35,
"UA",1997,6.33,6.33,
"UG",1997,60.74,60.74,
"UY",1997,0.61,0.61,
"UZ",1997,51.27,51.27,
"VE",1997,10.23,10.23,
"VN",1997,38.07,38.07,
"VU",1997,14.64,14.64,
"WS",1997,5.57,5.57,
"XK",1997,2.73,2.73,
"ZA",1997,33.79,33.79,
"ZM",1997,42.5,42.5,
"ZW",1997,3.52,3.52,
"AL",1998,2.49,2.49,
"AM",1998,17.22,17.22,
"AO",1998,44.46,44.46,
"AZ",1998,5.01,5.01,
"BA",1998,0.56,0.56,
"BD",1998,35.9,35.9,
"BF",1998,78.11,78.11,
"BG",1998,1.84,1.84,
"BI",1998,83.98,83.98,
"BJ",1998,54.39,54.39,
"BO",1998,22.96,22.96,
"BR",1998,13.63,13.63,
"BT",1998,60.7,60.7,
"BW",1998,30.36,30.36,
"BY",1998,7.04,7.04,
"BZ",1998,13.5,13.5,
"CD",1998,91.92,91.92,
"CF",1998,72.44,72.44,
"CG",1998,55.41,55.41,
"CI",1998,23.04,23.04,
"CL",1998,3.62,3.62,
"CM",1998,36.51,36.51,
"CN",1998,41.04,41.04,
"CO",1998,18.09,18.09,
"CR",1998,6.9,6.9,
"CV",1998,24.64,24.64,
"CZ",1998,0.12,0.12,
"DJ",1998,20.17,20.17,
"DO",1998,5.17,5.17,
"EC",1998,20.42,20.42,
"EE",1998,0.7,0.7,
"ET",1998,58.77,58.77,
"FJ",1998,6.68,6.68,
"FM",1998,13.95,13.95,
"GA",1998,6.1,6.1,
"GE",1998,15.28,15.28,
"GH",1998,34.68,34.68,
"GM",1998,61.94,61.94,
"GN",1998,55.62,55.62,
"GT",1998,13.72,13.72,
"GW",1998,56.79,56.79,
"GY",1998,14.15,14.15,
"HN",1998,27.75,27.75,
"HR",1998,0.32,0.32,
"HT",1998,54.59,54.59,
"HU",1998,0.1,0.1,
"ID",1998,41.96,41.96,
"IN",1998,37.87,37.87,
"IR",1998,3.18,3.18,
"JM",1998,2.88,2.88,
"KE",1998,23.01,23.01,
"KG",1998,29.58,29.58,
"KH",1998,25.58,25.58,
"KI",1998,15.19,15.19,
"KM",1998,14.86,14.86,
"KZ",1998,8.88,8.88,
"LA",1998,27.37,27.37,
"LC",1998,32.46,32.46,
"LK",1998,8.6,8.6,
"LR",1998,76.36,76.36,
"LS",1998,66.29,66.29,
"LT",1998,0.23,0.23,
"LV",1998,1.42,1.42,
"MA",1998,6.78,6.78,
"MD",1998,35.25,35.25,
"ME",1998,0.39,0.39,
"MG",1998,65.33,65.33,
"MK",1998,3.15,3.15,
"ML",1998,69.34,69.34,
"MN",1998,20.34,20.34,
"MR",1998,19.07,19.07,
"MU",1998,1.51,1.51,
"MV",1998,18.26,18.26,
"MW",1998,64.89,64.89,
"MX",1998,13.29,13.29,
"MY",1998,1.01,1.01,
"MZ",1998,83.74,83.74,
"NA",1998,43.2,43.2,
"NE",1998,78.69,78.69,
"NG",1998,65.47,65.47,
"NI",1998,17.62,17.62,
"NP",1998,54.58,54.58,
"PA",1998,14.22,14.22,
"PE",1998,17.87,17.87,
"PG",1998,54.68,54.68,
"PH",1998,19.37,19.37,
"PK",1998,20.94,20.94,
"PL",1998,0.9,0.9,
"PS",1998,0.78,0.78,
"PY",1998,10.72,10.72,
"RO",1998,7.09,7.09,
"RS",1998,0.51,0.51,
"RU",1998,3.47,3.47,
"RW",1998,79.04,79.04,
"SB",1998,30.61,30.61,
"SC",1998,0.84,0.84,
"SD",1998,35.22,35.22,
"SI",1998,0.04,0.04,
"SK",1998,0.44,0.44,
"SL",1998,68.31,68.31,
"SN",1998,52.95,52.95,
"SR",1998,23.38,23.38,
"SS",1998,46.02,46.02,
"ST",1998,31.42,31.42,
"SV",1998,18.17,18.17,
"SZ",1998,56.51,56.51,
"TD",1998,71.73,71.73,
"TG",1998,50.77,50.77,
"TH",1998,2.44,2.44,
"TJ",1998,56.09,56.09,
"TL",1998,66.67,66.67,
"TM",1998,35.7,35.7,
"TN",1998,7.43,7.43,
"TO",1998,3.09,3.09,
"TR",1998,1.72,1.72,
"TT",1998,2.62,2.62,
"TV",1998,4.57,4.57,
"TZ",1998,81.77,81.77,
"UA",1998,7.3,7.3,
"UG",1998,61.67,61.67,
"UY",1998,0.6,0.6,
"UZ",1998,53.92,53.92,
"VE",1998,10.2,10.2,
"VN",1998,36.72,36.72,
"VU",1998,14.67,14.67,
"WS",1998,5.24,5.24,
"XK",1998,2.47,2.47,
"ZA",1998,33.76,33.76,
"ZM",1998,43.26,43.26,
"ZW",1998,3.47,3.47,
"AL",1999,3.18,3.18,3.18
"AM",1999,16.88,16.88,16.88
"AO",1999,44.19,44.19,44.19
"AZ",1999,4.13,4.13,4.13
"BA",1999,0.36,0.36,0.36
"BD",1999,35.78,35.78,35.78
"BF",1999,76.13,76.13,76.13
"BG",1999,2.39,2.39,2.39
"BI",1999,83.87,83.87,83.87
"BJ",1999,53.12,53.12,53.12
"BO",1999,25.3,25.3,25.3
"BR",1999,13.36,13.36,13.36
"BT",1999,56.63,56.63,56.63
"BW",1999,29.14,29.14,29.14
"BY",1999,10.25,10.25,10.25
"BZ",1999,13.92,13.92,13.92
"CD",1999,93.05,93.05,93.05
"CF",1999,69.79,69.79,69.79
"CG",1999,56.77,56.77,56.77
"CI",1999,24.31,24.31,24.31
"CL",1999,3.76,3.76,3.76
"CM",1999,30.73,30.73,30.73
"CN",1999,40.54,40.54,40.54
"CO",1999,19.32,19.32,19.32
"CR",1999,6.37,6.37,6.37
"CV",1999,21.07,21.07,21.07
"CZ",1999,0.1,0.1,0.1
"DJ",1999,20.73,20.73,20.73
"DO",1999,5.29,5.29,5.29
"EC",1999,21.82,21.82,21.82
"EE",1999,0.87,0.87,0.87
"ET",1999,57.57,57.57,57.57
"FJ",1999,6.3,6.3,6.3
"FM",1999,14.16,14.16,14.16
"GA",1999,6.65,6.65,6.65
"GE",1999,19.9,19.9,19.9
"GH",1999,32.82,32.82,32.82
"GM",1999,57.05,57.05,57.05
"GN",1999,56.93,56.93,56.93
"GT",1999,11.53,11.53,11.53
"GW",1999,60.67,60.67,60.67
"GY",1999,13.47,13.47,13.47
"HN",1999,26.45,26.45,26.45
"HR",1999,0.24,0.24,0.24
"HT",1999,54.28,54.28,54.28
"HU",1999,0.03,0.03,0.03
"ID",1999,39.99,39.99,39.99
"IN",1999,37.4,37.4,37.4
"IR",1999,3.09,3.09,3.09
"JM",1999,2.61,2.61,2.61
"KE",1999,24.71,24.71,24.71
"KG",1999,23.03,23.03,23.03
"KH",1999,24.84,24.84,24.84
"KI",1999,14.09,14.09,14.09
"KM",1999,14.98,14.98,14.98
"KZ",1999,10.15,10.15,10.15
"LA",1999,26.48,26.48,26.48
"LC",1999,31.72,31.72,31.72
"LK",1999,8.46,8.46,8.46
"LR",1999,66.33,66.33,66.33
"LS",1999,65.41,65.41,65.41
"LT",1999,0.35,0.35,0.35
"LV",1999,1.35,1.35,1.35
"MA",1999,7.48,7.48,7.48
"MD",1999,39.1,39.1,39.1
"ME",1999,0.39,0.39,0.39
"MG",1999,64.13,64.13,64.13
"MK",1999,4.1,4.1,4.1
"ML",1999,63.62,63.62,63.62
"MN",1999,21.08,21.08,21.08
"MR",1999,18.73,18.73,18.73
"MU",1999,1.3,1.3,1.3
"MV",1999,16.57,16.57,16.57
"MW",1999,64.96,64.96,64.96
"MX",1999,12.89,12.89,12.89
"MY",1999,1.2,1.2,1.2
"MZ",1999,82.75,82.75,82.75
"NA",1999,38.47,38.47,38.47
"NE",1999,77.83,77.83,77.83
"NG",1999,66.45,66.45,66.45
"NI",1999,16.88,16.88,16.88
"NP",1999,51.79,51.79,51.79
"PA",1999,13.39,13.39,13.39
"PE",1999,17.63,17.63,17.63
"PG",1999,55.41,55.41,55.41
"PH",1999,18.68,18.68,18.68
"PK",1999,22.29,22.29,22.29
"PL",1999,0.06,0.06,0.06
"PS",1999,0.28,0.28,0.28
"PY",1999,10.21,10.21,10.21
"RO",1999,6.46,6.46,6.46
"RS",1999,0.5,0.5,0.5
"RU",1999,3.4,3.4,3.4
"RW",1999,78.36,78.36,78.36
"SB",1999,31.99,31.99,31.99
"SC",1999,0.58,0.58,0.58
"SD",1999,33.45,33.45,33.45
"SI",1999,0.02,0.02,0.02
"SK",1999,0.4,0.4,0.4
"SL",1999,69.06,69.06,69.06
"SN",1999,51.05,51.05,51.05
"SR",1999,23.38,23.38,23.38
"SS",1999,45.67,45.67,45.67
"ST",1999,30.72,30.72,30.72
"SV",1999,16.27,16.27,16.27
"SZ",1999,51.42,51.42,51.42
"TD",1999,71.58,71.58,71.58
"TG",1999,49.64,49.64,49.64
"TH",1999,2.54,2.54,2.54
"TJ",1999,54.37,54.37,54.37
"TL",1999,59.59,59.59,59.59
"TM",1999,34.67,34.67,34.67
"TN",1999,6.25,6.25,6.25
"TO",1999,2.93,2.93,2.93
"TR",1999,1.57,1.57,1.57
"TT",1999,1.87,1.87,1.87
"TV",1999,3.3,3.3,3.3
"TZ",1999,83.2,83.2,83.2
"UA",1999,8.26,8.26,8.26
"UG",1999,62.6,62.6,62.6
"UY",1999,0.59,0.59,0.59
"UZ",1999,56.56,56.56,56.56
"VE",1999,10.16,10.16,10.16
"VN",1999,35.37,35.37,35.37
"VU",1999,14.69,14.69,14.69
"WS",1999,4.92,4.92,4.92
"XK",1999,2.21,2.21,2.21
"ZA",1999,33.74,33.74,33.74
"ZM",1999,44.03,44.03,44.03
"ZW",1999,3.43,3.43,3.43
"AL",2000,2.9,2.9,
"AM",2000,16.27,16.27,
"AO",2000,43.89,43.89,
"AZ",2000,2.75,2.75,
"BA",2000,0.35,0.35,
"BD",2000,34.75,34.75,
"BF",2000,72.65,72.65,
"BG",2000,2.01,2.01,
"BI",2000,82.86,82.86,
"BJ",2000,51.71,51.71,
"BO",2000,25.18,25.18,
"BR",2000,13.01,13.01,
"BT",2000,51.49,51.49,
"BW",2000,29.48,29.48,
"BY",2000,7.51,7.51,
"BZ",2000,13.38,13.38,
"CD",2000,93.71,93.71,
"CF",2000,67.77,67.77,
"CG",2000,55.28,55.28,
"CI",2000,23.88,23.88,
"CL",2000,3.51,3.51,
"CM",2000,28.44,28.44,
"CN",2000,37.68,37.68,
"CO",2000,17.77,17.77,
"CR",2000,6.36,6.36,
"CV",2000,19.29,19.29,
"CZ",2000,0.08,0.08,
"DJ",2000,20.7,20.7,
"DO",2000,5.47,5.47,
"EC",2000,20.54,20.54,
"EE",2000,1.02,1.02,
"ET",2000,54.21,54.21,
"FJ",2000,6.08,6.08,
"FM",2000,13.38,13.38,
"GA",2000,7.09,7.09,
"GE",2000,18.89,18.89,
"GH",2000,31.88,31.88,
"GM",2000,58.74,58.74,
"GN",2000,58.27,58.27,
"GT",2000,11.24,11.24,
"GW",2000,58.4,58.4,
"GY",2000,13.37,13.37,
"HN",2000,27.32,27.32,
"HR",2000,0.18,0.18,
"HT",2000,54.86,54.86,
"HU",2000,0.02,0.02,
"ID",2000,34.46,34.46,
"IN",2000,37.14,37.14,
"IR",2000,3.01,3.01,
"JM",2000,2.65,2.65,
"KE",2000,26.97,26.97,
"KG",2000,26.76,26.76,
"KH",2000,24.01,24.01,
"KI",2000,13.74,13.74,
"KM",2000,14.38,14.38,
"KZ",2000,9.04,9.04,
"LA",2000,26.61,26.61,
"LC",2000,32.05,32.05,
"LK",2000,8.39,8.39,
"LR",2000,61.47,61.47,
"LS",2000,64.36,64.36,
"LV",2000,1.12,1.12,
"MA",2000,6.89,6.89,
"MD",2000,31.58,31.58,
"ME",2000,0.34,0.34,
"MG",2000,68.15,68.15,
"MK",2000,3.17,3.17,
"ML",2000,61.47,61.47,
"MN",2000,17.57,17.57,
"MR",2000,18.69,18.69,
"MU",2000,1.13,1.13,
"MV",2000,15.09,15.09,
"MW",2000,67.75,67.75,
"MX",2000,11.53,11.53,
"MY",2000,0.99,0.99,
"MZ",2000,82.1,82.1,
"NA",2000,37.79,37.79,
"NE",2000,77.38,77.38,
"NG",2000,66.29,66.29,
"NI",2000,16.71,16.71,
"NP",2000,49.9,49.9,
"PA",2000,12.9,12.9,
"PE",2000,16.86,16.86,
"PG",2000,55.69,55.69,
"PH",2000,18.24,18.24,
"PK",2000,24.32,24.32,
"PL",2000,0.06,0.06,
"PS",2000,0.41,0.41,
"PY",2000,11.24,11.24,
"RO",2000,6.11,6.11,
"RS",2000,0.39,0.39,
"RU",2000,2.5,2.5,
"RW",2000,76.29,76.29,
"SB",2000,38.12,38.12,
"SC",2000,0.61,0.61,
"SD",2000,31.59,31.59,
"SI",2000,0.01,0.01,
"SK",2000,0.37,0.37,
"SL",2000,66.56,66.56,
"SN",2000,50.39,50.39,
"SR",2000,22.72,22.72,
"SS",2000,45.32,45.32,
"ST",2000,31.55,31.55,
"SV",2000,15.21,15.21,
"SZ",2000,50.17,50.17,
"TD",2000,70.4,70.4,
"TG",2000,51.84,51.84,
"TH",2000,2.07,2.07,
"TJ",2000,48.27,48.27,
"TL",2000,54.43,54.43,
"TM",2000,33.56,33.56,
"TN",2000,5.63,5.63,
"TO",2000,2.8,2.8,
"TR",2000,1.62,1.62,
"TT",2000,1.71,1.71,
"TV",2000,2.98,2.98,
"TZ",2000,81.29,81.29,
"UA",2000,6.06,6.06,
"UG",2000,62.56,62.56,
"UY",2000,0.9,0.9,
"UZ",2000,59.56,59.56,
"VE",2000,12.12,12.12,
"VN",2000,36.51,36.51,
"VU",2000,14.69,14.69,
"WS",2000,4.09,4.09,
"XK",2000,2.12,2.12,
"ZA",2000,33.26,33.26,
"ZM",2000,45.84,45.84,
"ZW",2000,4.58,4.58,
"AL",2001,2.63,2.63,
"AM",2001,15.67,15.67,
"AO",2001,43.59,43.59,
"AZ",2001,1.38,1.38,
"BA",2001,0.34,0.34,
"BD",2001,33.71,33.71,
"BF",2001,69.16,69.16,
"BG",2001,1.64,1.64,
"BI",2001,81.86,81.86,
"BJ",2001,50.3,50.3,
"BO",2001,25.05,25.05,
"BR",2001,12.66,12.66,
"BT",2001,46.35,46.35,
"BW",2001,29.82,29.82,
"BY",2001,4.77,4.77,
"BZ",2001,12.84,12.84,
"CD",2001,94.38,94.38,
"CF",2001,65.75,65.75,
"CG",2001,53.8,53.8,
"CI",2001,23.46,23.46,
"CL",2001,3.26,3.26,
"CM",2001,26.16,26.16,
"CN",2001,34.81,34.81,
"CO",2001,16.21,16.21,
"CR",2001,6.35,6.35,
"CV",2001,17.5,17.5,
"CZ",2001,0.07,0.07,
"DJ",2001,20.66,20.66,
"DO",2001,5.66,5.66,
"EC",2001,19.25,19.25,
"EE",2001,1.17,1.17,
"ET",2001,50.86,50.86,
"FJ",2001,5.86,5.86,
"FM",2001,12.59,12.59,
"GA",2001,7.53,7.53,
"GE",2001,17.88,17.88,
"GH",2001,30.95,30.95,
"GM",2001,60.44,60.44,
"GN",2001,59.61,59.61,
"GT",2001,10.95,10.95,
"GW",2001,56.14,56.14,
"GY",2001,13.27,13.27,
"HN",2001,28.19,28.19,
"HR",2001,0.13,0.13,
"HT",2001,55.44,55.44,
"HU",2001,0.01,0.01,
"ID",2001,28.93,28.93,
"IN",2001,36.89,36.89,
"IR",2001,2.93,2.93,
"JM",2001,2.7,2.7,
"KE",2001,29.22,29.22,
"KG",2001,30.48,30.48,
"KH",2001,23.17,23.17,
"KI",2001,13.4,13.4,
"KM",2001,13.79,13.79,
"KZ",2001,7.92,7.92,
"LA",2001,26.73,26.73,
"LC",2001,32.38,32.38,
"LK",2001,8.32,8.32,
"LR",2001,56.61,56.61,
"LS",2001,63.32,63.32,
"LT",2001,0.46,0.46,
"LV",2001,0.88,0.88,
"MA",2001,6.29,6.29,
"MD",2001,24.07,24.07,
"ME",2001,0.28,0.28,
"MG",2001,72.16,72.16,
"MK",2001,2.24,2.24,
"ML",2001,59.33,59.33,
"MN",2001,14.06,14.06,
"MR",2001,18.66,18.66,
"MU",2001,0.96,0.96,
"MV",2001,13.61,13.61,
"MW",2001,70.55,70.55,
"MX",2001,10.17,10.17,
"MY",2001,0.79,0.79,
"MZ",2001,81.45,81.45,
"NA",2001,37.12,37.12,
"NE",2001,76.94,76.94,
"NG",2001,66.12,66.12,
"NI",2001,16.53,16.53,
"NP",2001,48.02,48.02,
"PA",2001,12.42,12.42,
"PE",2001,16.09,16.09,
"PG",2001,55.96,55.96,
"PH",2001,17.81,17.81,
"PK",2001,26.34,26.34,
"PL",2001,0.07,0.07,
"PS",2001,0.55,0.55,
"PY",2001,12.28,12.28,
"RO",2001,5.75,5.75,
"RS",2001,0.28,0.28,
"RU",2001,1.6,1.6,
"RW",2001,74.22,74.22,
"SB",2001,44.24,44.24,
"SC",2001,0.63,0.63,
"SD",2001,29.73,29.73,
"SI",2001,0.01,0.01,
"SK",2001,0.33,0.33,
"SL",2001,64.06,64.06,
"SN",2001,49.73,49.73,
"SR",2001,22.07,22.07,
"SS",2001,44.98,44.98,
"ST",2001,32.38,32.38,
"SV",2001,14.14,14.14,
"SZ",2001,48.92,48.92,
"TD",2001,69.22,69.22,
"TG",2001,54.04,54.04,
"TH",2001,1.61,1.61,
"TJ",2001,42.17,42.17,
"TL",2001,49.26,49.26,
"TM",2001,32.45,32.45,
"TN",2001,5.01,5.01,
"TO",2001,2.67,2.67,
"TR",2001,1.66,1.66,
"TT",2001,1.56,1.56,
"TV",2001,2.67,2.67,
"TZ",2001,79.37,79.37,
"UA",2001,3.87,3.87,
"UG",2001,62.52,62.52,
"UY",2001,1.21,1.21,
"UZ",2001,62.57,62.57,
"VE",2001,14.07,14.07,
"VN",2001,37.64,37.64,
"VU",2001,14.69,14.69,
"WS",2001,3.26,3.26,
"XK",2001,2.04,2.04,
"ZA",2001,32.77,32.77,
"ZM",2001,47.65,47.65,
"ZW",2001,5.74,5.74,
"AL",2002,2.35,2.35,2.35
"AM",2002,15.06,15.06,15.06
"AO",2002,43.29,43.29,43.29
"AZ",2002,0,0,0
"BA",2002,0.33,0.33,0.33
"BD",2002,32.68,32.68,32.68
"BF",2002,65.68,65.68,65.68
"BG",2002,1.26,1.26,1.26
"BI",2002,80.85,80.85,80.85
"BJ",2002,48.89,48.89,48.89
"BO",2002,24.93,24.93,24.93
"BR",2002,12.31,12.31,12.31
"BT",2002,41.21,41.21,41.21
"BW",2002,30.16,30.16,30.16
"BY",2002,2.03,2.03,2.03
"BZ",2002,12.3,12.3,12.3
"CD",2002,95.04,95.04,95.04
"CF",2002,63.73,63.73,63.73
"CG",2002,52.31,52.31,52.31
"CI",2002,23.03,23.03,23.03
"CL",2002,3.01,3.01,3.01
"CM",2002,23.87,23.87,23.87
"CN",2002,31.95,31.95,31.95
"CO",2002,14.66,14.66,14.66
"CR",2002,6.34,6.34,6.34
"CV",2002,15.72,15.72,15.72
"CZ",2002,0.05,0.05,0.05
"DJ",2002,20.63,20.63,20.63
"DO",2002,5.84,5.84,5.84
"EC",2002,17.97,17.97,17.97
"EE",2002,1.32,1.32,1.32
"ET",2002,47.5,47.5,47.5
"FJ",2002,5.64,5.64,5.64
"FM",2002,11.81,11.81,11.81
"GA",2002,7.97,7.97,7.97
"GE",2002,16.87,16.87,16.87
"GH",2002,30.01,30.01,30.01
"GM",2002,62.13,62.13,62.13
"GN",2002,60.95,60.95,60.95
"GT",2002,10.66,10.66,10.66
"GW",2002,53.87,53.87,53.87
"GY",2002,13.17,13.17,13.17
"HN",2002,29.06,29.06,29.06
"HR",2002,0.07,0.07,0.07
"HT",2002,56.02,56.02,56.02
"HU",2002,0,0,0
"ID",2002,23.4,23.4,23.4
"IN",2002,36.63,36.63,36.63
"IR",2002,2.85,2.85,2.85
"JM",2002,2.74,2.74,2.74
"KE",2002,31.48,31.48,31.48
"KG",2002,34.21,34.21,34.21
